noun,condition,adjective,denotation,phrase
stardom,abstract,new,subsective,new stardom
stardom,abstract,possible,non-subsective,possible stardom
stardom,abstract,potential,non-subsective,potential stardom
stardom,abstract,past,non-subsective,past stardom
stardom,abstract,fake,non-subsective,fake stardom
agony,abstract,good,subsective,good agony
agony,abstract,recent,subsective,recent agony
agony,abstract,typical,subsective,typical agony
agony,abstract,new,subsective,new agony
agony,abstract,possible,non-subsective,possible agony
agony,abstract,potential,non-subsective,potential agony
agony,abstract,past,non-subsective,past agony
agony,abstract,fake,non-subsective,fake agony
bummer,abstract,good,subsective,good bummer
bummer,abstract,recent,subsective,recent bummer
bummer,abstract,typical,subsective,typical bummer
bummer,abstract,new,subsective,new bummer
bummer,abstract,possible,non-subsective,possible bummer
bummer,abstract,potential,non-subsective,potential bummer
bummer,abstract,past,non-subsective,past bummer
bummer,abstract,fake,non-subsective,fake bummer
recount,abstract,good,subsective,good recount
recount,abstract,recent,subsective,recent recount
recount,abstract,typical,subsective,typical recount
recount,abstract,new,subsective,new recount
recount,abstract,possible,non-subsective,possible recount
recount,abstract,potential,non-subsective,potential recount
recount,abstract,past,non-subsective,past recount
recount,abstract,fake,non-subsective,fake recount
bonkers,abstract,good,subsective,good bonkers
bonkers,abstract,recent,subsective,recent bonkers
bonkers,abstract,typical,subsective,typical bonkers
bonkers,abstract,new,subsective,new bonkers
bonkers,abstract,possible,non-subsective,possible bonkers
bonkers,abstract,potential,non-subsective,potential bonkers
bonkers,abstract,past,non-subsective,past bonkers
bonkers,abstract,fake,non-subsective,fake bonkers
putdown,abstract,good,subsective,good putdown
putdown,abstract,recent,subsective,recent putdown
putdown,abstract,typical,subsective,typical putdown
putdown,abstract,new,subsective,new putdown
putdown,abstract,possible,non-subsective,possible putdown
putdown,abstract,potential,non-subsective,potential putdown
putdown,abstract,past,non-subsective,past putdown
putdown,abstract,fake,non-subsective,fake putdown
setback,abstract,good,subsective,good setback
setback,abstract,recent,subsective,recent setback
setback,abstract,typical,subsective,typical setback
setback,abstract,new,subsective,new setback
setback,abstract,possible,non-subsective,possible setback
setback,abstract,potential,non-subsective,potential setback
setback,abstract,past,non-subsective,past setback
setback,abstract,fake,non-subsective,fake setback
loss,abstract,good,subsective,good loss
loss,abstract,recent,subsective,recent loss
loss,abstract,typical,subsective,typical loss
loss,abstract,new,subsective,new loss
loss,abstract,possible,non-subsective,possible loss
loss,abstract,potential,non-subsective,potential loss
loss,abstract,past,non-subsective,past loss
loss,abstract,fake,non-subsective,fake loss
whammy,abstract,good,subsective,good whammy
whammy,abstract,recent,subsective,recent whammy
whammy,abstract,typical,subsective,typical whammy
whammy,abstract,new,subsective,new whammy
whammy,abstract,possible,non-subsective,possible whammy
whammy,abstract,potential,non-subsective,potential whammy
whammy,abstract,past,non-subsective,past whammy
whammy,abstract,fake,non-subsective,fake whammy
manners,abstract,good,subsective,good manners
manners,abstract,recent,subsective,recent manners
manners,abstract,typical,subsective,typical manners
manners,abstract,new,subsective,new manners
manners,abstract,possible,non-subsective,possible manners
manners,abstract,potential,non-subsective,potential manners
manners,abstract,past,non-subsective,past manners
manners,abstract,fake,non-subsective,fake manners
elitism,abstract,good,subsective,good elitism
elitism,abstract,recent,subsective,recent elitism
elitism,abstract,typical,subsective,typical elitism
elitism,abstract,new,subsective,new elitism
elitism,abstract,possible,non-subsective,possible elitism
elitism,abstract,potential,non-subsective,potential elitism
elitism,abstract,past,non-subsective,past elitism
elitism,abstract,fake,non-subsective,fake elitism
honesty,abstract,good,subsective,good honesty
honesty,abstract,recent,subsective,recent honesty
honesty,abstract,typical,subsective,typical honesty
honesty,abstract,new,subsective,new honesty
honesty,abstract,possible,non-subsective,possible honesty
honesty,abstract,potential,non-subsective,potential honesty
honesty,abstract,past,non-subsective,past honesty
honesty,abstract,fake,non-subsective,fake honesty
relief,abstract,good,subsective,good relief
relief,abstract,recent,subsective,recent relief
relief,abstract,typical,subsective,typical relief
relief,abstract,new,subsective,new relief
relief,abstract,possible,non-subsective,possible relief
relief,abstract,potential,non-subsective,potential relief
relief,abstract,past,non-subsective,past relief
relief,abstract,fake,non-subsective,fake relief
upsides,abstract,good,subsective,good upsides
upsides,abstract,recent,subsective,recent upsides
upsides,abstract,typical,subsective,typical upsides
upsides,abstract,new,subsective,new upsides
upsides,abstract,possible,non-subsective,possible upsides
upsides,abstract,potential,non-subsective,potential upsides
upsides,abstract,past,non-subsective,past upsides
upsides,abstract,fake,non-subsective,fake upsides
bravery,abstract,good,subsective,good bravery
bravery,abstract,recent,subsective,recent bravery
bravery,abstract,typical,subsective,typical bravery
bravery,abstract,new,subsective,new bravery
bravery,abstract,possible,non-subsective,possible bravery
bravery,abstract,potential,non-subsective,potential bravery
bravery,abstract,past,non-subsective,past bravery
bravery,abstract,fake,non-subsective,fake bravery
unease,abstract,good,subsective,good unease
unease,abstract,recent,subsective,recent unease
unease,abstract,typical,subsective,typical unease
unease,abstract,new,subsective,new unease
unease,abstract,possible,non-subsective,possible unease
unease,abstract,potential,non-subsective,potential unease
unease,abstract,past,non-subsective,past unease
unease,abstract,fake,non-subsective,fake unease
ethics,abstract,good,subsective,good ethics
ethics,abstract,recent,subsective,recent ethics
ethics,abstract,typical,subsective,typical ethics
ethics,abstract,new,subsective,new ethics
ethics,abstract,possible,non-subsective,possible ethics
ethics,abstract,potential,non-subsective,potential ethics
ethics,abstract,past,non-subsective,past ethics
ethics,abstract,fake,non-subsective,fake ethics
disgust,abstract,good,subsective,good disgust
disgust,abstract,recent,subsective,recent disgust
disgust,abstract,typical,subsective,typical disgust
disgust,abstract,new,subsective,new disgust
disgust,abstract,possible,non-subsective,possible disgust
disgust,abstract,potential,non-subsective,potential disgust
disgust,abstract,past,non-subsective,past disgust
disgust,abstract,fake,non-subsective,fake disgust
envy,abstract,good,subsective,good envy
envy,abstract,recent,subsective,recent envy
envy,abstract,typical,subsective,typical envy
envy,abstract,new,subsective,new envy
envy,abstract,possible,non-subsective,possible envy
envy,abstract,potential,non-subsective,potential envy
envy,abstract,past,non-subsective,past envy
envy,abstract,fake,non-subsective,fake envy
thrill,abstract,good,subsective,good thrill
thrill,abstract,recent,subsective,recent thrill
thrill,abstract,typical,subsective,typical thrill
thrill,abstract,new,subsective,new thrill
thrill,abstract,possible,non-subsective,possible thrill
thrill,abstract,potential,non-subsective,potential thrill
thrill,abstract,past,non-subsective,past thrill
thrill,abstract,fake,non-subsective,fake thrill
mood,abstract,good,subsective,good mood
mood,abstract,recent,subsective,recent mood
mood,abstract,typical,subsective,typical mood
mood,abstract,new,subsective,new mood
mood,abstract,possible,non-subsective,possible mood
mood,abstract,potential,non-subsective,potential mood
mood,abstract,past,non-subsective,past mood
mood,abstract,fake,non-subsective,fake mood
choice,abstract,good,subsective,good choice
choice,abstract,recent,subsective,recent choice
choice,abstract,typical,subsective,typical choice
choice,abstract,new,subsective,new choice
choice,abstract,possible,non-subsective,possible choice
choice,abstract,potential,non-subsective,potential choice
choice,abstract,past,non-subsective,past choice
choice,abstract,fake,non-subsective,fake choice
thanks,abstract,good,subsective,good thanks
thanks,abstract,recent,subsective,recent thanks
thanks,abstract,typical,subsective,typical thanks
thanks,abstract,new,subsective,new thanks
thanks,abstract,possible,non-subsective,possible thanks
thanks,abstract,potential,non-subsective,potential thanks
thanks,abstract,past,non-subsective,past thanks
thanks,abstract,fake,non-subsective,fake thanks
purist,abstract,good,subsective,good purist
purist,abstract,recent,subsective,recent purist
purist,abstract,typical,subsective,typical purist
purist,abstract,new,subsective,new purist
purist,abstract,possible,non-subsective,possible purist
purist,abstract,potential,non-subsective,potential purist
purist,abstract,past,non-subsective,past purist
purist,abstract,fake,non-subsective,fake purist
reform,abstract,good,subsective,good reform
reform,abstract,recent,subsective,recent reform
reform,abstract,typical,subsective,typical reform
reform,abstract,new,subsective,new reform
reform,abstract,possible,non-subsective,possible reform
reform,abstract,potential,non-subsective,potential reform
reform,abstract,past,non-subsective,past reform
reform,abstract,fake,non-subsective,fake reform
manner,abstract,good,subsective,good manner
manner,abstract,recent,subsective,recent manner
manner,abstract,typical,subsective,typical manner
manner,abstract,new,subsective,new manner
manner,abstract,possible,non-subsective,possible manner
manner,abstract,potential,non-subsective,potential manner
manner,abstract,past,non-subsective,past manner
manner,abstract,fake,non-subsective,fake manner
funk,abstract,good,subsective,good funk
funk,abstract,recent,subsective,recent funk
funk,abstract,typical,subsective,typical funk
funk,abstract,new,subsective,new funk
funk,abstract,possible,non-subsective,possible funk
funk,abstract,potential,non-subsective,potential funk
funk,abstract,past,non-subsective,past funk
funk,abstract,fake,non-subsective,fake funk
remorse,abstract,good,subsective,good remorse
remorse,abstract,recent,subsective,recent remorse
remorse,abstract,typical,subsective,typical remorse
remorse,abstract,new,subsective,new remorse
remorse,abstract,possible,non-subsective,possible remorse
remorse,abstract,potential,non-subsective,potential remorse
remorse,abstract,past,non-subsective,past remorse
remorse,abstract,fake,non-subsective,fake remorse
pause,abstract,good,subsective,good pause
pause,abstract,recent,subsective,recent pause
pause,abstract,typical,subsective,typical pause
pause,abstract,new,subsective,new pause
pause,abstract,possible,non-subsective,possible pause
pause,abstract,potential,non-subsective,potential pause
pause,abstract,past,non-subsective,past pause
pause,abstract,fake,non-subsective,fake pause
misery,abstract,good,subsective,good misery
misery,abstract,recent,subsective,recent misery
misery,abstract,typical,subsective,typical misery
misery,abstract,new,subsective,new misery
misery,abstract,possible,non-subsective,possible misery
misery,abstract,potential,non-subsective,potential misery
misery,abstract,past,non-subsective,past misery
misery,abstract,fake,non-subsective,fake misery
mistake,abstract,good,subsective,good mistake
mistake,abstract,recent,subsective,recent mistake
mistake,abstract,typical,subsective,typical mistake
mistake,abstract,new,subsective,new mistake
mistake,abstract,possible,non-subsective,possible mistake
mistake,abstract,potential,non-subsective,potential mistake
mistake,abstract,past,non-subsective,past mistake
mistake,abstract,fake,non-subsective,fake mistake
scruple,abstract,good,subsective,good scruple
scruple,abstract,recent,subsective,recent scruple
scruple,abstract,typical,subsective,typical scruple
scruple,abstract,new,subsective,new scruple
scruple,abstract,possible,non-subsective,possible scruple
scruple,abstract,potential,non-subsective,potential scruple
scruple,abstract,past,non-subsective,past scruple
scruple,abstract,fake,non-subsective,fake scruple
overuse,abstract,good,subsective,good overuse
overuse,abstract,recent,subsective,recent overuse
overuse,abstract,typical,subsective,typical overuse
overuse,abstract,new,subsective,new overuse
overuse,abstract,possible,non-subsective,possible overuse
overuse,abstract,potential,non-subsective,potential overuse
overuse,abstract,past,non-subsective,past overuse
overuse,abstract,fake,non-subsective,fake overuse
sanity,abstract,good,subsective,good sanity
sanity,abstract,recent,subsective,recent sanity
sanity,abstract,typical,subsective,typical sanity
sanity,abstract,new,subsective,new sanity
sanity,abstract,possible,non-subsective,possible sanity
sanity,abstract,potential,non-subsective,potential sanity
sanity,abstract,past,non-subsective,past sanity
sanity,abstract,fake,non-subsective,fake sanity
curse,abstract,good,subsective,good curse
curse,abstract,recent,subsective,recent curse
curse,abstract,typical,subsective,typical curse
curse,abstract,new,subsective,new curse
curse,abstract,possible,non-subsective,possible curse
curse,abstract,potential,non-subsective,potential curse
curse,abstract,past,non-subsective,past curse
curse,abstract,fake,non-subsective,fake curse
times,abstract,good,subsective,good times
times,abstract,recent,subsective,recent times
times,abstract,typical,subsective,typical times
times,abstract,new,subsective,new times
times,abstract,possible,non-subsective,possible times
times,abstract,potential,non-subsective,potential times
times,abstract,past,non-subsective,past times
times,abstract,fake,non-subsective,fake times
cruelty,abstract,good,subsective,good cruelty
cruelty,abstract,recent,subsective,recent cruelty
cruelty,abstract,typical,subsective,typical cruelty
cruelty,abstract,new,subsective,new cruelty
cruelty,abstract,possible,non-subsective,possible cruelty
cruelty,abstract,potential,non-subsective,potential cruelty
cruelty,abstract,past,non-subsective,past cruelty
cruelty,abstract,fake,non-subsective,fake cruelty
whatnot,abstract,good,subsective,good whatnot
whatnot,abstract,recent,subsective,recent whatnot
whatnot,abstract,typical,subsective,typical whatnot
whatnot,abstract,new,subsective,new whatnot
whatnot,abstract,possible,non-subsective,possible whatnot
whatnot,abstract,potential,non-subsective,potential whatnot
whatnot,abstract,past,non-subsective,past whatnot
whatnot,abstract,fake,non-subsective,fake whatnot
loser,abstract,good,subsective,good loser
loser,abstract,recent,subsective,recent loser
loser,abstract,typical,subsective,typical loser
loser,abstract,new,subsective,new loser
loser,abstract,possible,non-subsective,possible loser
loser,abstract,potential,non-subsective,potential loser
loser,abstract,past,non-subsective,past loser
loser,abstract,fake,non-subsective,fake loser
respite,abstract,good,subsective,good respite
respite,abstract,recent,subsective,recent respite
respite,abstract,typical,subsective,typical respite
respite,abstract,new,subsective,new respite
respite,abstract,possible,non-subsective,possible respite
respite,abstract,potential,non-subsective,potential respite
respite,abstract,past,non-subsective,past respite
respite,abstract,fake,non-subsective,fake respite
pardon,abstract,good,subsective,good pardon
pardon,abstract,recent,subsective,recent pardon
pardon,abstract,typical,subsective,typical pardon
pardon,abstract,new,subsective,new pardon
pardon,abstract,possible,non-subsective,possible pardon
pardon,abstract,potential,non-subsective,potential pardon
pardon,abstract,past,non-subsective,past pardon
pardon,abstract,fake,non-subsective,fake pardon
yours,abstract,good,subsective,good yours
yours,abstract,recent,subsective,recent yours
yours,abstract,typical,subsective,typical yours
yours,abstract,new,subsective,new yours
yours,abstract,possible,non-subsective,possible yours
yours,abstract,potential,non-subsective,potential yours
yours,abstract,past,non-subsective,past yours
yours,abstract,fake,non-subsective,fake yours
elation,abstract,good,subsective,good elation
elation,abstract,recent,subsective,recent elation
elation,abstract,typical,subsective,typical elation
elation,abstract,new,subsective,new elation
elation,abstract,possible,non-subsective,possible elation
elation,abstract,potential,non-subsective,potential elation
elation,abstract,past,non-subsective,past elation
elation,abstract,fake,non-subsective,fake elation
intent,abstract,good,subsective,good intent
intent,abstract,recent,subsective,recent intent
intent,abstract,typical,subsective,typical intent
intent,abstract,new,subsective,new intent
intent,abstract,possible,non-subsective,possible intent
intent,abstract,potential,non-subsective,potential intent
intent,abstract,past,non-subsective,past intent
intent,abstract,fake,non-subsective,fake intent
karma,abstract,good,subsective,good karma
karma,abstract,recent,subsective,recent karma
karma,abstract,typical,subsective,typical karma
karma,abstract,new,subsective,new karma
karma,abstract,possible,non-subsective,possible karma
karma,abstract,potential,non-subsective,potential karma
karma,abstract,past,non-subsective,past karma
karma,abstract,fake,non-subsective,fake karma
fiasco,abstract,good,subsective,good fiasco
fiasco,abstract,recent,subsective,recent fiasco
fiasco,abstract,typical,subsective,typical fiasco
fiasco,abstract,new,subsective,new fiasco
fiasco,abstract,possible,non-subsective,possible fiasco
fiasco,abstract,potential,non-subsective,potential fiasco
fiasco,abstract,past,non-subsective,past fiasco
fiasco,abstract,fake,non-subsective,fake fiasco
memory,abstract,good,subsective,good memory
memory,abstract,recent,subsective,recent memory
memory,abstract,typical,subsective,typical memory
memory,abstract,new,subsective,new memory
memory,abstract,possible,non-subsective,possible memory
memory,abstract,potential,non-subsective,potential memory
memory,abstract,past,non-subsective,past memory
memory,abstract,fake,non-subsective,fake memory
heaven,abstract,good,subsective,good heaven
heaven,abstract,recent,subsective,recent heaven
heaven,abstract,typical,subsective,typical heaven
heaven,abstract,new,subsective,new heaven
heaven,abstract,possible,non-subsective,possible heaven
heaven,abstract,potential,non-subsective,potential heaven
heaven,abstract,past,non-subsective,past heaven
heaven,abstract,fake,non-subsective,fake heaven
doubter,abstract,good,subsective,good doubter
doubter,abstract,recent,subsective,recent doubter
doubter,abstract,typical,subsective,typical doubter
doubter,abstract,new,subsective,new doubter
doubter,abstract,possible,non-subsective,possible doubter
doubter,abstract,potential,non-subsective,potential doubter
doubter,abstract,past,non-subsective,past doubter
doubter,abstract,fake,non-subsective,fake doubter
homage,abstract,good,subsective,good homage
homage,abstract,recent,subsective,recent homage
homage,abstract,typical,subsective,typical homage
homage,abstract,new,subsective,new homage
homage,abstract,possible,non-subsective,possible homage
homage,abstract,potential,non-subsective,potential homage
homage,abstract,past,non-subsective,past homage
homage,abstract,fake,non-subsective,fake homage
impure,abstract,good,subsective,good impure
impure,abstract,recent,subsective,recent impure
impure,abstract,typical,subsective,typical impure
impure,abstract,new,subsective,new impure
impure,abstract,possible,non-subsective,possible impure
impure,abstract,potential,non-subsective,potential impure
impure,abstract,past,non-subsective,past impure
impure,abstract,fake,non-subsective,fake impure
kind,abstract,good,subsective,good kind
kind,abstract,recent,subsective,recent kind
kind,abstract,typical,subsective,typical kind
kind,abstract,new,subsective,new kind
kind,abstract,possible,non-subsective,possible kind
kind,abstract,potential,non-subsective,potential kind
kind,abstract,past,non-subsective,past kind
kind,abstract,fake,non-subsective,fake kind
doting,abstract,good,subsective,good doting
doting,abstract,recent,subsective,recent doting
doting,abstract,typical,subsective,typical doting
doting,abstract,new,subsective,new doting
doting,abstract,possible,non-subsective,possible doting
doting,abstract,potential,non-subsective,potential doting
doting,abstract,past,non-subsective,past doting
doting,abstract,fake,non-subsective,fake doting
defect,abstract,good,subsective,good defect
defect,abstract,recent,subsective,recent defect
defect,abstract,typical,subsective,typical defect
defect,abstract,new,subsective,new defect
defect,abstract,possible,non-subsective,possible defect
defect,abstract,potential,non-subsective,potential defect
defect,abstract,past,non-subsective,past defect
defect,abstract,fake,non-subsective,fake defect
sadness,abstract,good,subsective,good sadness
sadness,abstract,recent,subsective,recent sadness
sadness,abstract,typical,subsective,typical sadness
sadness,abstract,new,subsective,new sadness
sadness,abstract,possible,non-subsective,possible sadness
sadness,abstract,potential,non-subsective,potential sadness
sadness,abstract,past,non-subsective,past sadness
sadness,abstract,fake,non-subsective,fake sadness
clarity,abstract,good,subsective,good clarity
clarity,abstract,recent,subsective,recent clarity
clarity,abstract,typical,subsective,typical clarity
clarity,abstract,new,subsective,new clarity
clarity,abstract,possible,non-subsective,possible clarity
clarity,abstract,potential,non-subsective,potential clarity
clarity,abstract,past,non-subsective,past clarity
clarity,abstract,fake,non-subsective,fake clarity
fad,abstract,good,subsective,good fad
fad,abstract,recent,subsective,recent fad
fad,abstract,typical,subsective,typical fad
fad,abstract,new,subsective,new fad
fad,abstract,possible,non-subsective,possible fad
fad,abstract,potential,non-subsective,potential fad
fad,abstract,past,non-subsective,past fad
fad,abstract,fake,non-subsective,fake fad
hurray,abstract,good,subsective,good hurray
hurray,abstract,recent,subsective,recent hurray
hurray,abstract,typical,subsective,typical hurray
hurray,abstract,new,subsective,new hurray
hurray,abstract,possible,non-subsective,possible hurray
hurray,abstract,potential,non-subsective,potential hurray
hurray,abstract,past,non-subsective,past hurray
hurray,abstract,fake,non-subsective,fake hurray
asinine,abstract,good,subsective,good asinine
asinine,abstract,recent,subsective,recent asinine
asinine,abstract,typical,subsective,typical asinine
asinine,abstract,new,subsective,new asinine
asinine,abstract,possible,non-subsective,possible asinine
asinine,abstract,potential,non-subsective,potential asinine
asinine,abstract,past,non-subsective,past asinine
asinine,abstract,fake,non-subsective,fake asinine
excuse,abstract,good,subsective,good excuse
excuse,abstract,recent,subsective,recent excuse
excuse,abstract,typical,subsective,typical excuse
excuse,abstract,new,subsective,new excuse
excuse,abstract,possible,non-subsective,possible excuse
excuse,abstract,potential,non-subsective,potential excuse
excuse,abstract,past,non-subsective,past excuse
excuse,abstract,fake,non-subsective,fake excuse
quirk,abstract,good,subsective,good quirk
quirk,abstract,recent,subsective,recent quirk
quirk,abstract,typical,subsective,typical quirk
quirk,abstract,new,subsective,new quirk
quirk,abstract,possible,non-subsective,possible quirk
quirk,abstract,potential,non-subsective,potential quirk
quirk,abstract,past,non-subsective,past quirk
quirk,abstract,fake,non-subsective,fake quirk
wrath,abstract,good,subsective,good wrath
wrath,abstract,recent,subsective,recent wrath
wrath,abstract,typical,subsective,typical wrath
wrath,abstract,new,subsective,new wrath
wrath,abstract,possible,non-subsective,possible wrath
wrath,abstract,potential,non-subsective,potential wrath
wrath,abstract,past,non-subsective,past wrath
wrath,abstract,fake,non-subsective,fake wrath
fuss,abstract,good,subsective,good fuss
fuss,abstract,recent,subsective,recent fuss
fuss,abstract,typical,subsective,typical fuss
fuss,abstract,new,subsective,new fuss
fuss,abstract,possible,non-subsective,possible fuss
fuss,abstract,potential,non-subsective,potential fuss
fuss,abstract,past,non-subsective,past fuss
fuss,abstract,fake,non-subsective,fake fuss
info,abstract,good,subsective,good info
info,abstract,recent,subsective,recent info
info,abstract,typical,subsective,typical info
info,abstract,new,subsective,new info
info,abstract,possible,non-subsective,possible info
info,abstract,potential,non-subsective,potential info
info,abstract,past,non-subsective,past info
info,abstract,fake,non-subsective,fake info
revelry,abstract,good,subsective,good revelry
revelry,abstract,recent,subsective,recent revelry
revelry,abstract,typical,subsective,typical revelry
revelry,abstract,new,subsective,new revelry
revelry,abstract,possible,non-subsective,possible revelry
revelry,abstract,potential,non-subsective,potential revelry
revelry,abstract,past,non-subsective,past revelry
revelry,abstract,fake,non-subsective,fake revelry
folly,abstract,good,subsective,good folly
folly,abstract,recent,subsective,recent folly
folly,abstract,typical,subsective,typical folly
folly,abstract,new,subsective,new folly
folly,abstract,possible,non-subsective,possible folly
folly,abstract,potential,non-subsective,potential folly
folly,abstract,past,non-subsective,past folly
folly,abstract,fake,non-subsective,fake folly
relapse,abstract,good,subsective,good relapse
relapse,abstract,recent,subsective,recent relapse
relapse,abstract,typical,subsective,typical relapse
relapse,abstract,new,subsective,new relapse
relapse,abstract,possible,non-subsective,possible relapse
relapse,abstract,potential,non-subsective,potential relapse
relapse,abstract,past,non-subsective,past relapse
relapse,abstract,fake,non-subsective,fake relapse
virtue,abstract,good,subsective,good virtue
virtue,abstract,recent,subsective,recent virtue
virtue,abstract,typical,subsective,typical virtue
virtue,abstract,new,subsective,new virtue
virtue,abstract,possible,non-subsective,possible virtue
virtue,abstract,potential,non-subsective,potential virtue
virtue,abstract,past,non-subsective,past virtue
virtue,abstract,fake,non-subsective,fake virtue
mercy,abstract,good,subsective,good mercy
mercy,abstract,recent,subsective,recent mercy
mercy,abstract,typical,subsective,typical mercy
mercy,abstract,new,subsective,new mercy
mercy,abstract,possible,non-subsective,possible mercy
mercy,abstract,potential,non-subsective,potential mercy
mercy,abstract,past,non-subsective,past mercy
mercy,abstract,fake,non-subsective,fake mercy
resale,abstract,good,subsective,good resale
resale,abstract,recent,subsective,recent resale
resale,abstract,typical,subsective,typical resale
resale,abstract,new,subsective,new resale
resale,abstract,possible,non-subsective,possible resale
resale,abstract,potential,non-subsective,potential resale
resale,abstract,past,non-subsective,past resale
resale,abstract,fake,non-subsective,fake resale
madness,abstract,good,subsective,good madness
madness,abstract,recent,subsective,recent madness
madness,abstract,typical,subsective,typical madness
madness,abstract,new,subsective,new madness
madness,abstract,possible,non-subsective,possible madness
madness,abstract,potential,non-subsective,potential madness
madness,abstract,past,non-subsective,past madness
madness,abstract,fake,non-subsective,fake madness
brevity,abstract,good,subsective,good brevity
brevity,abstract,recent,subsective,recent brevity
brevity,abstract,typical,subsective,typical brevity
brevity,abstract,new,subsective,new brevity
brevity,abstract,possible,non-subsective,possible brevity
brevity,abstract,potential,non-subsective,potential brevity
brevity,abstract,past,non-subsective,past brevity
brevity,abstract,fake,non-subsective,fake brevity
hell,abstract,good,subsective,good hell
hell,abstract,recent,subsective,recent hell
hell,abstract,typical,subsective,typical hell
hell,abstract,new,subsective,new hell
hell,abstract,possible,non-subsective,possible hell
hell,abstract,potential,non-subsective,potential hell
hell,abstract,past,non-subsective,past hell
hell,abstract,fake,non-subsective,fake hell
phase,abstract,good,subsective,good phase
phase,abstract,recent,subsective,recent phase
phase,abstract,typical,subsective,typical phase
phase,abstract,new,subsective,new phase
phase,abstract,possible,non-subsective,possible phase
phase,abstract,potential,non-subsective,potential phase
phase,abstract,past,non-subsective,past phase
phase,abstract,fake,non-subsective,fake phase
craze,abstract,good,subsective,good craze
craze,abstract,recent,subsective,recent craze
craze,abstract,typical,subsective,typical craze
craze,abstract,new,subsective,new craze
craze,abstract,possible,non-subsective,possible craze
craze,abstract,potential,non-subsective,potential craze
craze,abstract,past,non-subsective,past craze
craze,abstract,fake,non-subsective,fake craze
courage,abstract,good,subsective,good courage
courage,abstract,recent,subsective,recent courage
courage,abstract,typical,subsective,typical courage
courage,abstract,new,subsective,new courage
courage,abstract,possible,non-subsective,possible courage
courage,abstract,potential,non-subsective,potential courage
courage,abstract,past,non-subsective,past courage
courage,abstract,fake,non-subsective,fake courage
softie,abstract,good,subsective,good softie
softie,abstract,recent,subsective,recent softie
softie,abstract,typical,subsective,typical softie
softie,abstract,new,subsective,new softie
softie,abstract,possible,non-subsective,possible softie
softie,abstract,potential,non-subsective,potential softie
softie,abstract,past,non-subsective,past softie
softie,abstract,fake,non-subsective,fake softie
unity,abstract,good,subsective,good unity
unity,abstract,recent,subsective,recent unity
unity,abstract,typical,subsective,typical unity
unity,abstract,new,subsective,new unity
unity,abstract,possible,non-subsective,possible unity
unity,abstract,potential,non-subsective,potential unity
unity,abstract,past,non-subsective,past unity
unity,abstract,fake,non-subsective,fake unity
offense,abstract,good,subsective,good offense
offense,abstract,recent,subsective,recent offense
offense,abstract,typical,subsective,typical offense
offense,abstract,new,subsective,new offense
offense,abstract,possible,non-subsective,possible offense
offense,abstract,potential,non-subsective,potential offense
offense,abstract,past,non-subsective,past offense
offense,abstract,fake,non-subsective,fake offense
truth,abstract,good,subsective,good truth
truth,abstract,recent,subsective,recent truth
truth,abstract,typical,subsective,typical truth
truth,abstract,new,subsective,new truth
truth,abstract,possible,non-subsective,possible truth
truth,abstract,potential,non-subsective,potential truth
truth,abstract,past,non-subsective,past truth
truth,abstract,fake,non-subsective,fake truth
wits,abstract,good,subsective,good wits
wits,abstract,recent,subsective,recent wits
wits,abstract,typical,subsective,typical wits
wits,abstract,new,subsective,new wits
wits,abstract,possible,non-subsective,possible wits
wits,abstract,potential,non-subsective,potential wits
wits,abstract,past,non-subsective,past wits
wits,abstract,fake,non-subsective,fake wits
respect,abstract,good,subsective,good respect
respect,abstract,recent,subsective,recent respect
respect,abstract,typical,subsective,typical respect
respect,abstract,new,subsective,new respect
respect,abstract,possible,non-subsective,possible respect
respect,abstract,potential,non-subsective,potential respect
respect,abstract,past,non-subsective,past respect
respect,abstract,fake,non-subsective,fake respect
usage,abstract,good,subsective,good usage
usage,abstract,recent,subsective,recent usage
usage,abstract,typical,subsective,typical usage
usage,abstract,new,subsective,new usage
usage,abstract,possible,non-subsective,possible usage
usage,abstract,potential,non-subsective,potential usage
usage,abstract,past,non-subsective,past usage
usage,abstract,fake,non-subsective,fake usage
haste,abstract,good,subsective,good haste
haste,abstract,recent,subsective,recent haste
haste,abstract,typical,subsective,typical haste
haste,abstract,new,subsective,new haste
haste,abstract,possible,non-subsective,possible haste
haste,abstract,potential,non-subsective,potential haste
haste,abstract,past,non-subsective,past haste
haste,abstract,fake,non-subsective,fake haste
esteem,abstract,good,subsective,good esteem
esteem,abstract,recent,subsective,recent esteem
esteem,abstract,typical,subsective,typical esteem
esteem,abstract,new,subsective,new esteem
esteem,abstract,possible,non-subsective,possible esteem
esteem,abstract,potential,non-subsective,potential esteem
esteem,abstract,past,non-subsective,past esteem
esteem,abstract,fake,non-subsective,fake esteem
unrest,abstract,good,subsective,good unrest
unrest,abstract,recent,subsective,recent unrest
unrest,abstract,typical,subsective,typical unrest
unrest,abstract,new,subsective,new unrest
unrest,abstract,possible,non-subsective,possible unrest
unrest,abstract,potential,non-subsective,potential unrest
unrest,abstract,past,non-subsective,past unrest
unrest,abstract,fake,non-subsective,fake unrest
micro,abstract,good,subsective,good micro
micro,abstract,recent,subsective,recent micro
micro,abstract,typical,subsective,typical micro
micro,abstract,new,subsective,new micro
micro,abstract,possible,non-subsective,possible micro
micro,abstract,potential,non-subsective,potential micro
micro,abstract,past,non-subsective,past micro
